Participant	Pair	Education	Item	SynCat	Freq	RT
1	1	HighSchool	1	Noun	High	565
2	2	HighSchool	1	Noun	High	796
3	3	HighSchool	1	Noun	High	711
4	4	HighSchool	1	Noun	High	811
5	5	HighSchool	1	Noun	High	911
6	6	HighSchool	1	Noun	High	NA
7	7	HighSchool	1	Noun	High	NA
8	8	HighSchool	1	Noun	High	686
9	9	HighSchool	1	Noun	High	721
10	10	HighSchool	1	Noun	High	753
11	1	College	1	Noun	High	642
12	2	College	1	Noun	High	1366
13	3	College	1	Noun	High	676
14	4	College	1	Noun	High	489
15	5	College	1	Noun	High	517
16	6	College	1	Noun	High	712
17	7	College	1	Noun	High	743
18	8	College	1	Noun	High	683
19	9	College	1	Noun	High	650
20	10	College	1	Noun	High	721
1	1	HighSchool	2	Noun	High	609
2	2	HighSchool	2	Noun	High	NA
3	3	HighSchool	2	Noun	High	643
4	4	HighSchool	2	Noun	High	1294
5	5	HighSchool	2	Noun	High	802
6	6	HighSchool	2	Noun	High	839
7	7	HighSchool	2	Noun	High	640
8	8	HighSchool	2	Noun	High	983
9	9	HighSchool	2	Noun	High	897
10	10	HighSchool	2	Noun	High	748
11	1	College	2	Noun	High	1137
12	2	College	2	Noun	High	610
13	3	College	2	Noun	High	912
14	4	College	2	Noun	High	1438
15	5	College	2	Noun	High	646
16	6	College	2	Noun	High	481
17	7	College	2	Noun	High	797
18	8	College	2	Noun	High	597
19	9	College	2	Noun	High	754
20	10	College	2	Noun	High	899
1	1	HighSchool	3	Noun	High	679
2	2	HighSchool	3	Noun	High	757
3	3	HighSchool	3	Noun	High	558
4	4	HighSchool	3	Noun	High	681
5	5	HighSchool	3	Noun	High	570
6	6	HighSchool	3	Noun	High	648
7	7	HighSchool	3	Noun	High	759
8	8	HighSchool	3	Noun	High	723
9	9	HighSchool	3	Noun	High	556
10	10	HighSchool	3	Noun	High	749
11	1	College	3	Noun	High	542
12	2	College	3	Noun	High	836
13	3	College	3	Noun	High	716
14	4	College	3	Noun	High	796
15	5	College	3	Noun	High	603
16	6	College	3	Noun	High	722
17	7	College	3	Noun	High	801
18	8	College	3	Noun	High	570
19	9	College	3	Noun	High	630
20	10	College	3	Noun	High	647
1	1	HighSchool	4	Noun	High	790
2	2	HighSchool	4	Noun	High	796
3	3	HighSchool	4	Noun	High	630
4	4	HighSchool	4	Noun	High	640
5	5	HighSchool	4	Noun	High	854
6	6	HighSchool	4	Noun	High	628
7	7	HighSchool	4	Noun	High	758
8	8	HighSchool	4	Noun	High	755
9	9	HighSchool	4	Noun	High	568
10	10	HighSchool	4	Noun	High	533
11	1	College	4	Noun	High	NA
12	2	College	4	Noun	High	682
13	3	College	4	Noun	High	1021
14	4	College	4	Noun	High	945
15	5	College	4	Noun	High	686
16	6	College	4	Noun	High	494
17	7	College	4	Noun	High	NA
18	8	College	4	Noun	High	990
19	9	College	4	Noun	High	798
20	10	College	4	Noun	High	677
1	1	HighSchool	5	Noun	High	641
2	2	HighSchool	5	Noun	High	690
3	3	HighSchool	5	Noun	High	864
4	4	HighSchool	5	Noun	High	510
5	5	HighSchool	5	Noun	High	716
6	6	HighSchool	5	Noun	High	568
7	7	HighSchool	5	Noun	High	875
8	8	HighSchool	5	Noun	High	633
9	9	HighSchool	5	Noun	High	643
10	10	HighSchool	5	Noun	High	602
11	1	College	5	Noun	High	1321
12	2	College	5	Noun	High	715
13	3	College	5	Noun	High	648
14	4	College	5	Noun	High	597
15	5	College	5	Noun	High	562
16	6	College	5	Noun	High	606
