Item	Education	SynCat	Freq	RT	LnRT	Log10RT
1	College	Noun	High	719.9	6.54037091	2.840446996
1	HighSchool	Noun	High	744.25	6.603936286	2.868053088
2	College	Noun	High	827.1	6.668236995	2.895978531
2	HighSchool	Noun	High	828.3333333	6.692367991	2.906458489
3	College	Noun	High	686.3	6.521067972	2.832063837
3	HighSchool	Noun	High	668	6.497235098	2.821713351
4	College	Noun	High	786.625	6.641956295	2.884564968
4	HighSchool	Noun	High	695.2	6.532933547	2.83721699
5	College	Noun	High	743.9	6.577091391	2.856394498
5	HighSchool	Noun	High	674.2	6.500260261	2.823027162
6	College	Noun	Low	837.5	6.69836981	2.909065046
6	HighSchool	Noun	Low	886.4	6.744052225	2.928904667
7	College	Noun	Low	695	6.530426581	2.836128228
7	HighSchool	Noun	Low	792.8888889	6.652749977	2.889252604
8	College	Noun	Low	692.9	6.537487416	2.83919471
8	HighSchool	Noun	Low	829.2	6.693335441	2.906878647
9	College	Noun	Low	818.7	6.698005032	2.908906625
9	HighSchool	Noun	Low	641.2	6.459790102	2.805451196
10	College	Noun	Low	808.7	6.673739737	2.898368341
10	HighSchool	Noun	Low	852.8	6.723076868	2.919795185
11	College	Verb	High	700.2	6.526014058	2.834211894
11	HighSchool	Verb	High	600.25	6.378857481	2.770302605
12	College	Verb	High	743	6.588408777	2.861309576
12	HighSchool	Verb	High	704.3	6.539308222	2.839985476
13	College	Verb	High	650.5	6.452874278	2.802447691
13	HighSchool	Verb	High	726	6.567877126	2.852392793
14	College	Verb	High	791.4	6.648547583	2.887427528
14	HighSchool	Verb	High	651.7	6.472994983	2.811186003
15	College	Verb	High	646.4444444	6.467226361	2.808680722
15	HighSchool	Verb	High	653.7	6.466122064	2.808201132
16	College	Verb	Low	706.4	6.544414751	2.842203214
16	HighSchool	Verb	Low	670.2222222	6.503053542	2.824240269
17	College	Verb	Low	758.5	6.620628631	2.875302481
17	HighSchool	Verb	Low	747.8	6.605297774	2.868644375
18	College	Verb	Low	755.9	6.606925085	2.869351107
18	HighSchool	Verb	Low	801.3	6.671973358	2.897601213
19	College	Verb	Low	644.2	6.456800352	2.804152763
19	HighSchool	Verb	Low	881.75	6.758400261	2.93513594
20	College	Verb	Low	827.8	6.672464485	2.897814507
20	HighSchool	Verb	Low	825.5	6.682715776	2.902266586
