Participant	Education	SynCat	Freq	RT	LnRT	Log10RT
1	HighSchool	Noun	High	656.8	6.480865506	2.814604127
1	HighSchool	Noun	Low	673.2	6.503762162	2.824548018
1	HighSchool	Verb	High	647	6.468917847	2.809415325
1	HighSchool	Verb	Low	809.3333333	6.669993261	2.896741268
2	HighSchool	Noun	High	759.75	6.631313306	2.879942776
2	HighSchool	Noun	Low	867.4	6.74590156	2.929707823
2	HighSchool	Verb	High	603.6	6.393281189	2.776566742
2	HighSchool	Verb	Low	822.4	6.666298098	2.895136479
3	HighSchool	Noun	High	681.2	6.512893741	2.828513813
3	HighSchool	Noun	Low	747.5	6.594659764	2.864024346
3	HighSchool	Verb	High	721.8	6.557573573	2.847918018
3	HighSchool	Verb	Low	812.2	6.697591579	2.908727065
4	HighSchool	Noun	High	787.2	6.616640547	2.873570479
4	HighSchool	Noun	Low	879	6.755826546	2.93401819
4	HighSchool	Verb	High	645.6	6.458425485	2.80485855
4	HighSchool	Verb	Low	845	6.729211612	2.922459471
5	HighSchool	Noun	High	770.6	6.634179845	2.881187699
5	HighSchool	Noun	Low	900.4	6.764654139	2.937851964
5	HighSchool	Verb	High	726.2	6.578273929	2.856908068
5	HighSchool	Verb	Low	665.25	6.491646371	2.819286197
6	HighSchool	Noun	High	670.75	6.497690747	2.821911237
6	HighSchool	Noun	Low	946.2	6.809133576	2.957169138
6	HighSchool	Verb	High	652.5	6.472508917	2.810974907
6	HighSchool	Verb	Low	779.8	6.635997137	2.881976939
7	HighSchool	Noun	High	758	6.624594306	2.877024752
7	HighSchool	Noun	Low	833.8	6.703183353	2.911155541
7	HighSchool	Verb	High	746.8	6.594797897	2.864084336
7	HighSchool	Verb	Low	841.8	6.717440534	2.917347357
8	HighSchool	Noun	High	756	6.616416828	2.873473318
8	HighSchool	Noun	Low	660	6.485948315	2.816811563
8	HighSchool	Verb	High	500.4	6.212156241	2.697905176
8	HighSchool	Verb	Low	846.4	6.724401627	2.920370521
9	HighSchool	Noun	High	677	6.501745887	2.823672362
9	HighSchool	Noun	Low	857	6.727824651	2.921857121
9	HighSchool	Verb	High	748.6	6.604572674	2.868329468
9	HighSchool	Verb	Low	678.6	6.515229663	2.829528291
10	HighSchool	Noun	High	677	6.507797212	2.826300418
10	HighSchool	Noun	Low	631.4	6.443497119	2.798375243
10	HighSchool	Verb	High	699.2	6.546554359	2.843132433
10	HighSchool	Verb	Low	722.4	6.557427306	2.847854494
11	College	Noun	High	910.5	6.745536776	2.929549399
11	College	Noun	Low	722.4	6.563590349	2.85053107
11	College	Verb	High	701	6.536025136	2.83855965
11	College	Verb	Low	756.4	6.579075963	2.857256387
12	College	Noun	High	841.8	6.691808362	2.906215446
12	College	Noun	Low	858.8	6.729983643	2.92279476
12	College	Verb	High	762.2	6.633398473	2.880848353
12	College	Verb	Low	793.8	6.674678241	2.898775928
13	College	Noun	High	794.6	6.66158835	2.893091061
13	College	Noun	Low	776.6	6.650010988	2.888063076
13	College	Verb	High	599.6	6.385089323	2.77300906
13	College	Verb	Low	714.2	6.566817406	2.851932563
14	College	Noun	High	853	6.677214451	2.899877391
14	College	Noun	Low	732.2	6.588834032	2.861494262
14	College	Verb	High	651	6.463064351	2.806873184
14	College	Verb	Low	874.8	6.743607348	2.92871146
15	College	Noun	High	602.8	6.396627811	2.778020161
15	College	Noun	Low	857.75	6.731198392	2.923322318
15	College	Verb	High	700	6.534778224	2.838018123
15	College	Verb	Low	725.4	6.569098999	2.852923446
16	College	Noun	High	603	6.387077165	2.773872368
16	College	Noun	Low	803.2	6.669397305	2.896482447
16	College	Verb	High	751.4	6.600391916	2.866513787
16	College	Verb	Low	658.2	6.482573011	2.815345687
17	College	Noun	High	746	6.610889099	2.871072656
17	College	Noun	Low	654.6	6.47752117	2.813151701
17	College	Verb	High	859.5	6.670497161	2.896960108
17	College	Verb	Low	727.6	6.565739385	2.851464385
18	College	Noun	High	688.8	6.513065495	2.828588405
18	College	Noun	Low	757	6.628227413	2.87860259
18	College	Verb	High	772.4	6.642150253	2.884649203
18	College	Verb	Low	658.8	6.472976135	2.811177817
19	College	Noun	High	733.2	6.59128531	2.862558839
19	College	Noun	Low	692.5	6.536206225	2.838638296
19	College	Verb	High	631	6.439489715	2.796634849
19	College	Verb	Low	643.8	6.464294612	2.80740748
20	College	Noun	High	770.6	6.636856967	2.882350358
20	College	Noun	Low	882.6	6.742397924	2.928186213
20	College	Verb	High	677.6	6.501911722	2.823744383
20	College	Verb	Low	832.6	6.683605507	2.902652991
