ItemID	NB	UP	MeanResp
1	6	16	0.333333333
2	1	49	0.125
3	4	425	0.0625
4	3	202	0.25
5	4	23	0.1875
6	5	1	0.1875
7	1	425	0
8	12	49	0.0625
9	6	202	0.5
10	2	1	0.125
11	16	101	0.4375
12	1	45	0.125
13	3	1	0.125
14	16	425	0.0625
16	0	103	0.0625
17	8	135	0.125
18	6	375	0.25
19	6	425	0.1875
20	1	1	0.375
21	6	16	0.625
22	15	425	0.375
23	1	9	0.1875
24	6	103	0.375
25	1	25	0.125
26	7	45	0.25
27	16	25	0.125
28	9	101	0.25
29	16	152	0.4375
30	9	49	0.375
31	15	202	0.375
32	12	12	0.125
33	3	180	0.1875
34	5	16	0.2
35	8	1	0.4375
36	5	1	0.375
37	15	1	0.125
38	13	152	0.625
39	1	44	0.0625
40	15	135	0.125
41	1	135	0.125
42	12	9	0.375
43	4	101	0.1875
44	11	103	0.3125
45	5	16	0.066666667
46	1	135	0.0625
47	4	12	0.133333333
48	3	101	0.1875
49	12	135	0.3125
50	4	152	0.1875
51	6	44	0.25
52	15	425	0.5
53	1	180	0
54	5	23	0.1875
55	2	403	0.0625
56	2	44	0.1875
57	1	152	0.125
58	10	403	0.3125
59	1	103	0.125
60	0	180	0.125
61	1	49	0.125
62	7	136	0.4375
63	9	49	0.25
64	8	103	0.125
65	18	403	0.375
66	3	136	0.1875
67	1	1	0.1875
68	9	12	0.125
69	0	45	0.125
70	16	135	0.1875
71	1	425	0.125
72	18	12	0.25
73	1	23	0.0625
74	23	202	0.625
75	9	103	0.1875
76	11	135	0.25
77	11	25	0.125
78	18	9	0.4375
79	17	101	0.375
80	11	135	0.3125
81	7	403	0.3125
82	19	403	0.5
83	3	49	0.125
84	20	16	0.4375
85	1	425	0.25
86	19	1	0.125
87	13	49	0.125
88	1	49	0.125
89	9	136	0.1875
91	1	403	0.0625
92	24	101	0.5
93	15	49	0.125
94	1	23	0.25
95	5	9	0.125
96	4	403	0.0625
97	8	12	0.375
98	9	9	0.1875
99	5	180	0.0625
100	14	152	0.375
101	1	16	0.0625
102	1	25	0.3125
103	25	136	0.5
104	25	9	0.25
105	1	44	0.125
106	3	403	0.0625
107	21	11	0.125
108	14	135	0.0625
109	9	136	0.1875
110	3	44	0.125
111	5	45	0.5
112	1	9	0
113	7	103	0.3125
114	9	403	0.25
115	1	16	0.25
116	4	135	0.1875
117	2	44	0.0625
118	8	403	0.3125
119	3	11	0.0625
120	6	45	0.125
121	12	152	0.75
122	17	152	0.625
123	13	49	0.375
124	17	136	0.375
125	3	136	0.25
126	0	9	0.125
128	5	101	0.2
129	4	202	0.1875
130	4	16	0.1875
131	11	16	0.1875
132	0	45	0.0625
133	1	135	0.133333333
134	14	103	0.25
135	15	11	0.5
136	9	180	0.125
137	13	49	0.4375
138	5	101	0.0625
139	13	9	0.625
140	12	45	0.4375
141	20	103	0.4375
142	12	16	0.0625
143	10	136	0.375
144	20	135	0.3125
145	0	9	0.066666667
146	3	25	0.125
147	9	103	0.125
148	1	180	0
149	0	375	0.125
150	5	152	0.125
151	3	12	0.125
152	16	12	0.1875
153	12	135	0.4375
154	12	9	0.25
155	11	25	0.1875
156	22	16	0.0625
157	6	425	0.3125
158	8	49	0.25
159	9	11	0.125
161	1	45	0.3125
162	1	23	0.25
163	3	103	0.125
164	5	45	0.1875
165	18	152	0.625
166	1	103	0.0625
167	11	25	0.125
168	3	152	0.375
169	6	49	0.0625
170	17	9	0.4375
171	5	152	0.1875
172	23	425	0.75
173	7	9	0.25
174	13	1	0.5
175	15	1	0.25
176	10	375	0.25
177	18	11	0.125
178	8	9	0.2
179	19	25	0.3125
180	7	23	0.375
181	7	9	0.1875
182	4	375	0.375
183	22	12	0.25
184	20	23	0.5625
185	9	1	0
186	14	202	0.2
187	8	23	0.1875
188	13	25	0.375
189	11	135	0.1875
190	6	202	0.125
191	16	375	0.375
192	1	9	0.333333333
193	10	101	0.625
194	13	11	0.25
195	12	135	0.125
197	1	16	0.0625
198	29	425	0.4375
199	5	45	0.2
200	4	202	0.125
201	21	16	0.4375
202	16	16	0.0625
203	26	425	0.625
204	9	180	0.3125
205	5	180	0.0625
206	5	101	0.25
207	5	16	0.3125
208	7	103	0.25
209	10	1	0.125
210	5	44	0.3125
211	13	9	0.0625
212	30	136	0.5625
213	9	23	0.1875
214	11	9	0.25
215	9	202	0.4375
216	20	12	0.3125
217	3	9	0.125
218	19	180	0.25
219	1	9	0
220	2	103	0.0625
221	19	12	0.3125
222	14	180	0.0625
223	3	103	0.25
224	8	9	0.375
225	11	45	0.125
226	12	44	0.125
227	3	9	0.1875
228	13	16	0.5625
229	18	23	0.1875
230	7	9	0.125
231	11	152	0.1875
232	1	135	0.0625
233	13	9	0.3125
234	17	180	0.3125
235	12	136	0.4375
236	1	45	0.1875
237	13	16	0.0625
238	15	425	0.5625
239	4	45	0.4375
240	5	101	0.25
241	0	101	0.0625
242	1	152	0.1875
243	6	49	0.133333333
244	13	103	0.125
245	5	16	0.1875
246	2	403	0.0625
247	8	12	0.1875
248	4	135	0.0625
249	7	403	0.25
250	1	23	0.125
251	5	25	0.125
252	18	11	0.125
253	6	101	0.125
254	12	9	0.333333333
255	3	25	0.1875
256	4	11	0.25
257	14	1	0.125
258	1	425	0.125
259	0	9	0.125
260	1	25	0.125
261	2	11	0.1875
262	6	49	0.1875
263	7	45	0.3125
264	6	425	0.4
265	11	45	0.5
266	7	23	0.25
267	7	45	0.25
268	14	375	0.5625
269	7	202	0.1875
270	5	1	0.1875
271	5	202	0.266666667
272	1	403	0.1875
