Word	AoA	Fam	Freq	Dur
1	5.44	3.59	10	226
2	5.56	4.26	6	235
3	4.53	5.63	74	268
4	5.53	3.34	4	249
5	6.08	3.72	2	252
6	5.19	4.48	13	252
7	5.97	2.93	4	230
8	5.36	4.99	17	213
9	3.29	5.64	33	246
10	5.36	5.33	1	229
11	5.44	4.31	20	235
12	5.39	4.51	11	211
13	6.22	3.99	1	251
14	4.11	4.27	9	222
15	3.19	5.66	283	265
16	5.86	3.61	8	247
17	3.14	5.35	142	228
18	6.03	3.75	9	233
19	6.06	3.27	4	252
20	5.61	5.02	161	243
21	4.58	4.82	33	240
22	5.97	4.44	18	229
23	5.83	4.56	3	228
24	4.25	5.66	51	237
25	4.28	4.81	8	247
26	4.67	5.13	18	252
27	5.83	3.32	4	314
28	2.81	6.55	106	277
29	2.58	5.82	227	256
30	5.53	4.2	56	265
31	5.89	3.59	2	260
32	4.61	5.09	9	246
33	6.61	1.96	1	256
34	3.44	5.49	37	231
35	6.78	2.45	2	303
36	6.31	3.17	7	250
37	5.61	3.84	1	247
38	6.33	3.91	4	258
39	6.5	3.14	3	214
40	4.86	4.2	39	251
41	4.46	4.1	9	258
42	2.44	4.93	2	284
43	5.34	4.2	4	243
44	5.22	5.02	25	293
45	4.83	5.17	19	244
46	5.97	4.03	23	230
47	6.56	2	1	258
48	3.92	5.83	172	252
49	6.5	3.74	6	278
50	6.17	4.17	13	245
51	6.19	3.88	9	243
52	2.42	4.7	18	278
53	2.22	6.2	68	220
54	2.64	5.43	8	293
55	5.36	3.9	1	287
56	4.64	5.19	24	275
57	2.94	6.05	152	256
58	6.36	4.17	9	224
59	5.72	4.92	20	222
60	4.39	4.84	12	161
61	3.06	5.91	42	275
62	5.22	4.91	81	209
63	6.39	3.56	8	252
64	4.06	5.1	3	277
65	4.31	5.14	62	259
66	2.11	5.98	9	258
67	4.25	5.41	28	228
68	4.44	5.08	123	197
69	4.69	5.26	51	262
70	3.86	4.28	1	266
71	6.64	2.38	5	227
72	3.67	4.83	13	201
73	4.33	3.51	1	245
74	3.92	5.6	323	244
75	5.69	4.01	4	233
76	1.92	6.08	94	256
77	4	4.06	2	257
78	3.17	5.55	132	244
79	4.89	5.25	34	250
80	3.94	5.48	23	228
81	4.06	5.33	68	202
82	6.37	2.52	1	270
83	5.78	4.27	1	246
84	3.43	4.94	11	263
85	5.47	4.82	47	311
86	4.17	4.82	9	253
87	5.75	3.25	4	205
88	4.64	5.34	87	235
89	4.08	4.92	1	219
90	4.89	3.91	24	240
91	4.28	4.82	9	245
92	5.17	5.4	79	218
93	3.92	5.58	95	240
94	4.81	5.53	107	249
95	4.25	5.11	115	255
96	6.42	3.26	4	283
97	2.33	5.54	22	211
98	6.36	2.54	2	287
99	4.14	5.54	46	252
100	4.83	4.56	50	253
101	2.78	5.33	22	208
102	3.72	5.29	46	224
103	5.75	2.72	3	231
104	3.11	4.61	6	256
105	3.03	3.7	8	234
106	2.25	5.87	967	214
107	4	5.4	67	242
108	2.17	6.34	42	273
109	3.77	3.97	1	255
110	3.67	5.45	90	227
111	1.5	5.75	110	288
112	5.39	4.53	12	267
113	2.36	5.55	53	277
114	3.92	5.24	5	255
115	3.94	5.52	7	218
116	2.89	4.66	29	241
117	4.72	3.39	2	248
118	3.19	4.87	24	259
119	3.69	5.2	91	285
120	2.5	5.04	7	269
121	1.72	5.99	26	232
122	3.36	4.74	57	288
123	5	2.93	6	250
124	3.94	4.76	21	232
125	3.19	4.56	7	277
126	6.11	2.42	2	289
