NounID	Class	Flexible	Thin	Round
1	3	No	No	Yes
2	2	No	Yes	Yes
3	3	No	No	No
4	1	Yes	Yes	No
5	1	Yes	Yes	No
6	3	No	No	Yes
7	1	Yes	No	Yes
8	2	No	Yes	No
9	3	No	No	Yes
10	1	Yes	No	No
11	1	Yes	No	No
12	1	Yes	Yes	Yes
13	3	No	No	No
14	2	No	Yes	Yes
15	3	No	No	Yes
16	1	Yes	No	Yes
17	1	Yes	No	No
18	2	No	Yes	Yes
19	1	Yes	Yes	No
20	1	Yes	No	No
21	1	Yes	No	No
22	1	Yes	Yes	Yes
23	3	No	No	Yes
24	3	No	No	Yes
25	1	Yes	No	No
26	3	No	No	No
27	1	Yes	No	No
28	2	No	Yes	Yes
29	3	No	No	Yes
30	2	No	No	No
31	1	Yes	No	No
32	2	Yes	No	Yes
33	2	No	Yes	Yes
34	1	Yes	No	Yes
35	2	No	Yes	No
36	1	Yes	No	No
37	3	No	No	Yes
38	1	Yes	Yes	No
39	1	Yes	No	Yes
40	1	Yes	Yes	Yes
41	1	No	No	Yes
42	1	Yes	Yes	Yes
43	3	No	Yes	Yes
44	1	Yes	Yes	Yes
45	2	No	No	No
46	3	No	No	Yes
47	1	Yes	Yes	Yes
48	3	No	No	Yes
49	2	No	Yes	No
50	1	Yes	Yes	No
51	2	No	Yes	No
52	1	Yes	No	Yes
53	1	Yes	No	No
54	1	Yes	No	Yes
55	3	Yes	Yes	No
56	1	Yes	Yes	Yes
57	3	No	No	No
58	1	No	No	Yes
59	3	No	No	Yes
60	3	No	No	No
61	1	Yes	Yes	No
62	2	No	No	Yes
63	2	No	Yes	Yes
64	1	No	No	Yes
65	1	Yes	Yes	No
66	3	No	No	Yes
67	1	Yes	Yes	Yes
68	3	No	No	Yes
69	1	Yes	Yes	No
70	1	No	No	Yes
71	2	No	Yes	No
72	1	Yes	No	Yes
73	1	Yes	Yes	No
74	1	Yes	No	No
75	1	No	No	Yes
76	3	No	No	Yes
77	1	No	No	Yes
78	1	Yes	No	No
79	1	Yes	No	No
80	1	Yes	No	No
81	3	No	No	Yes
82	2	Yes	No	Yes
83	1	Yes	Yes	No
84	2	No	Yes	No
85	3	No	No	Yes
86	3	No	Yes	Yes
87	3	No	No	Yes
88	3	No	No	Yes
89	2	Yes	Yes	No
90	1	Yes	Yes	Yes
91	1	Yes	No	No
92	1	Yes	Yes	Yes
93	2	No	Yes	Yes
94	1	No	No	No
95	3	No	No	Yes
96	1	Yes	No	No
97	3	No	No	Yes
98	2	No	Yes	No
99	3	No	No	Yes
100	3	No	Yes	No
