Deletion	Income
1	58900
1	87800
0	17800
0	47100
0	14100
0	9900
0	29000
0	24500
1	72300
1	53600
0	29900
0	20000
1	91000
0	3300
1	59600
0	15100
1	57800
1	45400
1	49400
1	52600
0	38300
1	92900
0	43300
0	24500
1	87600
0	18300
0	9000
0	23900
1	86100
1	83300
0	36300
0	18800
1	76900
1	44100
0	47700
1	98100
0	8900
0	9700
1	63600
0	19900
0	26200
0	31900
1	87000
0	5200
0	20400
1	57200
0	3700
0	1800
0	19700
0	34100
0	28400
0	18600
0	20400
0	23200
0	40600
1	86700
0	27600
1	75300
0	34100
1	96000
1	62900
1	84500
0	12200
1	55600
1	77600
0	25900
1	49900
1	58400
1	48500
1	60900
0	2100
0	38300
0	38200
0	6700
0	28900
1	76500
1	80200
0	20400
1	91800
0	10200
1	89100
1	51300
0	13300
0	33800
0	21300
1	82900
0	46400
0	33600
0	14500
1	86800
0	5400
1	61400
1	78600
1	57900
1	52700
0	41100
1	73100
1	88400
0	11400
0	32400
