Speaker	Item	Set	Order	ComplexNP	Topic	Judgment
1	18	5	1	1	-1	1
1	5	2	2	1	1	1
1	20	5	3	-1	-1	1
1	19	5	4	-1	1	1
1	4	1	5	-1	-1	1
1	2	1	6	1	-1	1
1	1	1	7	1	1	0
1	7	2	8	-1	1	1
1	11	3	9	-1	1	0
1	8	2	10	-1	-1	1
1	17	5	11	1	1	0
1	10	3	12	1	-1	1
1	9	3	13	1	1	1
1	6	2	14	1	-1	1
1	12	3	15	-1	-1	1
1	15	4	16	-1	1	1
1	16	4	17	-1	-1	1
1	14	4	18	1	-1	1
1	13	4	19	1	1	0
1	3	1	20	-1	1	1
2	20	5	1	-1	-1	1
2	7	2	2	-1	1	1
2	18	5	3	1	-1	1
2	17	5	4	1	1	0
2	13	4	5	1	1	0
2	3	1	6	-1	1	1
2	2	1	7	1	-1	1
2	12	3	8	-1	-1	1
2	10	3	9	1	-1	1
2	15	4	10	-1	1	1
2	5	2	11	1	1	0
2	8	2	12	-1	-1	1
2	6	2	13	1	-1	1
2	9	3	14	1	1	0
2	11	3	15	-1	1	1
2	16	4	16	-1	-1	1
2	4	1	17	-1	-1	1
2	1	1	18	1	1	0
2	14	4	19	1	-1	1
2	19	5	20	-1	1	1
3	20	5	1	-1	-1	1
3	13	4	2	1	1	0
3	11	3	3	-1	1	1
3	18	5	4	1	-1	1
3	16	4	5	-1	-1	1
3	10	3	6	1	-1	1
3	1	1	7	1	1	0
3	19	5	8	-1	1	1
3	15	4	9	-1	1	1
3	9	3	10	1	1	0
3	14	4	11	1	-1	1
3	12	3	12	-1	-1	1
3	6	2	13	1	-1	1
3	5	2	14	1	1	0
3	7	2	15	-1	1	1
3	8	2	16	-1	-1	1
3	2	1	17	1	-1	1
3	4	1	18	-1	-1	1
3	3	1	19	-1	1	1
3	17	5	20	1	1	0
4	12	3	1	-1	-1	1
4	19	5	2	-1	1	1
4	14	4	3	1	-1	1
4	17	5	4	1	1	0
4	4	1	5	-1	-1	1
4	3	1	6	-1	1	1
4	13	4	7	1	1	0
4	10	3	8	1	-1	1
4	6	2	9	1	-1	1
4	5	2	10	1	1	0
4	7	2	11	-1	1	0
4	8	2	12	-1	-1	1
4	16	4	13	-1	-1	1
4	18	5	14	1	-1	1
4	1	1	15	1	1	0
4	15	4	16	-1	1	0
4	9	3	17	1	1	0
4	11	3	18	-1	1	0
4	2	1	19	1	-1	1
4	20	5	20	-1	-1	1
5	1	1	1	1	1	0
5	18	5	2	1	-1	1
5	20	5	3	-1	-1	1
5	19	5	4	-1	1	1
5	4	1	5	-1	-1	1
5	5	2	6	1	1	0
5	2	1	7	1	-1	1
5	7	2	8	-1	1	1
5	15	4	9	-1	1	1
5	8	2	10	-1	-1	1
5	17	5	11	1	1	0
5	10	3	12	1	-1	1
5	16	4	13	-1	-1	1
5	6	2	14	1	-1	1
5	13	4	15	1	1	0
5	11	3	16	-1	1	0
5	12	3	17	-1	-1	1
5	14	4	18	1	-1	1
5	3	1	19	-1	1	1
5	9	3	20	1	1	0
6	11	3	1	-1	1	0
6	4	1	2	-1	-1	1
6	18	5	3	1	-1	1
6	9	3	4	1	1	0
6	16	4	5	-1	-1	1
6	2	1	6	1	-1	1
6	19	5	7	-1	1	1
6	13	4	8	1	1	0
6	15	4	9	-1	1	1
6	5	2	10	1	1	0
6	10	3	11	1	-1	1
6	8	2	12	-1	-1	1
6	20	5	13	-1	-1	1
6	6	2	14	1	-1	1
6	3	1	15	-1	1	1
6	1	1	16	1	1	0
6	7	2	17	-1	1	1
6	14	4	18	1	-1	1
6	12	3	19	-1	-1	1
6	17	5	20	1	1	0
7	19	5	1	-1	1	0
7	2	1	2	1	-1	1
7	17	5	3	1	1	0
7	12	3	4	-1	-1	1
7	10	3	5	1	-1	1
7	20	5	6	-1	-1	1
7	7	2	7	-1	1	0
7	9	3	8	1	1	0
7	4	1	9	-1	-1	1
7	11	3	10	-1	1	0
7	14	4	11	1	-1	1
7	5	2	12	1	1	0
7	8	2	13	-1	-1	0
7	6	2	14	1	-1	0
7	1	1	15	1	1	0
7	15	4	16	-1	1	0
7	16	4	17	-1	-1	1
7	3	1	18	-1	1	0
7	18	5	19	1	-1	1
7	13	4	20	1	1	0
