AX	AY	BX	BY	CX	CY	DX	DY	EX	EY	FX	FY	GX	GY	HX	HY	IX	IY
1	0.021077422	20	0.21271488	1	20	1	0.288223289	1	1	1	1.25	1	6.21882998	1	1	1	1
2	3.285380123	19	3.805988763	2	14	2	0.767262205	2	4	2	2.5	2	8.797966001	2	32	1	2
3	3.320332333	18	3.429106851	3	5	3	0.034187435	3	3	3	3.75	3	11.94894521	3	243	1	3
4	3.703976847	17	4.18984429	4	2	4	2.615956095	4	8	4	5	4	15.57939379	4	1024	1	4
5	6.246187607	16	7.161667068	5	9	5	2.001922113	5	5	5	6.25	5	19.50047698	5	3125	1	5
6	5.866039701	15	6.00115602	6	8	6	2.896000236	6	12	6	7.5	6	23.4322293	6	7776	2	1
7	5.747521652	14	5.936217134	7	18	7	5.056717343	7	7	7	8.75	7	27.03059947	7	16807	2	2
8	9.935722305	13	10.3253797	8	16	8	3.089200693	8	16	8	10	8	29.93446088	8	32768	2	3
9	11.05953431	12	11.09609777	9	12	9	5.977171888	9	9	9	11.25	9	31.82444942	9	59049	2	4
10	10.06405335	11	10.36512936	10	3	10	8.237901801	10	20	10	12.5	10	32.48060063	10	100000	2	5
11	9.31479559	10	9.393534332	11	17	11	0.766016139	11	11	11	13.75	11	31.82444942	11	161051	3	1
12	14.84401455	9	15.34852822	12	10	12	1.258846243	12	24	12	15	12	29.93446088	12	248832	3	2
13	12.24085654	8	12.280952	13	19	13	6.895451903	13	13	13	16.25	13	27.03059947	13	371293	3	3
14	15.39167732	7	16.38053666	14	15	14	8.717939039	14	28	14	17.5	14	23.4322293	14	537824	3	4
15	15.58446996	6	16.38337764	15	7	15	12.07983693	15	15	15	18.75	15	19.50047698	15	759375	3	5
16	14.50998936	5	14.79362516	16	4	16	4.468878588	16	32	16	20	16	15.57939379	16	1048576	4	1
17	18.67558965	4	19.47417388	17	11	17	5.821008783	17	17	17	21.25	17	11.94894521	17	1419857	4	2
18	17.93929716	3	18.04626658	18	13	18	6.209367348	18	36	18	22.5	18	8.797966001	18	1889568	4	3
19	18.61184021	2	19.36979979	19	6	19	8.722378919	19	19	19	23.75	19	6.21882998	19	2476099	4	4
20	19.97302637	1	20.10539377	20	1	20	18.88652421	20	40	20	25	20	4.219964353	20	3200000	20	20
