Study	Participant	Gender	Measure
1	1	Boy	2.353355137
1	2	Boy	3.214887296
1	3	Boy	3.521399882
1	4	Boy	3.629147547
1	5	Boy	4.414071233
1	6	Boy	4.70685143
1	7	Boy	5.299776155
1	8	Boy	5.781513093
1	9	Boy	6.087993739
1	10	Boy	6.101162395
1	11	Girl	1.210972983
1	12	Girl	1.955637468
1	13	Girl	2.691784095
1	14	Girl	2.852968605
1	15	Girl	2.962570206
1	16	Girl	3.028384075
1	17	Girl	3.099556136
1	18	Girl	3.202747375
1	19	Girl	3.632937319
1	20	Girl	4.766546357
2	21	Boy	4.083216916
2	22	Boy	4.106750143
2	23	Boy	4.284949918
2	24	Boy	4.285225346
2	25	Boy	4.307619811
2	26	Boy	4.496229468
2	27	Boy	4.68635285
2	28	Boy	4.747773406
2	29	Boy	4.811737373
2	30	Boy	4.886943449
2	31	Girl	1.210972983
2	32	Girl	1.955637468
2	33	Girl	2.691784095
2	34	Girl	2.852968605
2	35	Girl	2.962570206
2	36	Girl	3.028384075
2	37	Girl	3.099556136
2	38	Girl	3.202747375
2	39	Girl	3.632937319
2	40	Girl	4.766546357
