Study	Participant	WordType	Measure
4	8	Verb	2.962570206
3	9	Verb	3.632937319
4	4	Noun	4.414071233
3	7	Noun	5.299776155
3	2	Verb	1.955637468
3	8	Verb	3.202747375
3	2	Noun	3.214887296
4	5	Verb	4.766546357
4	1	Verb	1.210972983
3	6	Noun	4.70685143
3	10	Verb	4.766546357
4	6	Verb	1.955637468
3	3	Verb	2.691784095
3	4	Noun	3.629147547
4	1	Noun	3.629147547
4	7	Verb	2.852968605
3	8	Noun	5.781513093
3	10	Noun	6.101162395
4	10	Noun	6.087993739
4	9	Verb	2.691784095
4	4	Verb	3.202747375
4	9	Noun	5.299776155
3	4	Verb	2.852968605
3	1	Noun	2.353355137
4	2	Noun	6.101162395
4	6	Noun	5.781513093
4	5	Noun	2.353355137
4	8	Noun	3.214887296
3	5	Verb	2.962570206
3	7	Verb	3.099556136
3	5	Noun	4.414071233
4	10	Verb	3.099556136
4	7	Noun	3.521399882
4	2	Verb	3.028384075
4	3	Noun	4.70685143
3	9	Noun	6.087993739
4	3	Verb	3.632937319
3	3	Noun	3.521399882
3	6	Verb	3.028384075
3	1	Verb	1.210972983
